year,rank,uri,wk_title,wk_artist,sp_title,sp_artist
1946,1,spotify:track:3SpqiwLh1vaR0QeEDDvUrC,Prisoner of Love,Perry Como,Prisoner of Love (with Russ Case & His Orchestra & Chorus),"['Perry Como', 'Russ Case & His Orchestra & Chorus']"
1946,2,spotify:track:4xRdYnoXKNDPPrEicGPGCe,To Each His Own,Eddy Howard,To Each His Own,['Eddy Howard']
1946,3,spotify:track:4kuoSXnEyTKWypYkvjjnwd,The Gypsy,The Ink Spots,The Gypsy,['The Ink Spots']
1946,4,spotify:track:08jcVB28seFgQ5WrQiLKZQ,Five Minutes More,Frank Sinatra,Five Minutes More,['Frank Sinatra']
1946,5,spotify:track:7AoGplARvZSMmwYrsWjSfy,Rumors Are Flying,Frankie Carle,Rumors Are Flying,['Frankie Carle']
1946,6,spotify:track:584qaYkg1VK6TGWBOtJIEB,Oh! What It Seemed to Be,Frankie Carle,Oh! What It Seemed to Be,"['Frankie Carle, His Piano & Orchestra']"
1946,7,spotify:track:2qkqnpWaSM6zWqDpQWaFEL,Personality,Johnny Mercer and The Pied Pipers,Personality,"['Johnny Mercer', 'The Pied Pipers']"
1946,8,spotify:track:5Z7MNRwfaVL1tEKsc6G7EQ,"South America, Take It Away",Bing Crosby and The Andrews Sisters,"South America, Take It Away - Single Version","['Bing Crosby', 'The Andrews Sisters', 'Vic Schoen & His Orchestra']"
1946,9,spotify:track:1lxLxma3m4k8fq2SMVFsSH,The Gypsy,Dinah Shore,The Gypsy - 78rpm Version,['Dinah Shore']
1946,10,spotify:track:3h30Y0cknu8AndiHAPSX43,Oh! What It Seemed to Be,Frank Sinatra,Oh! What It Seemed To Be,['Frank Sinatra']
1946,11,spotify:track:54ASUXVZNSUruVQ42N1QDJ,Surrender,Perry Como,Surrender,['Perry Como']
1946,12,spotify:track:61d3zbeymdgxsnXw5hFvMy,"Doctor, Lawyer, Indian Chief",Betty Hutton,"Doctor, Lawyer, Indian Chief",['Betty Hutton']
1946,13,spotify:track:0RYbdAzWT0MBJzdr4vZJQB,Let It Snow! Let It Snow! Let It Snow!,Vaughn Monroe,"Let It Snow, Let It Snow, Let It Snow",['Vaughn Monroe']
1946,14,spotify:track:5QEyScOgUFntL9U8k0HLzb,To Each His Own,Freddy Martin,To Each His Own,['Freddy Martin & His Orchestra']
1946,15,spotify:track:1M2NFzR0gAeDt8yIHuqlaQ,Ole Buttermilk Sky,Kay Kyser,Ole Buttermilk Sky,['Kay Kyser & His Orchestra']
1946,16,spotify:track:1xaWXoK9hKH3Op9VDCgqZT,To Each His Own,The Ink Spots,To Each His Own,['The Ink Spots']
1946,17,spotify:track:0CfT2uI4ArHMjmzzlWDqwj,Symphony,Freddy Martin,Symphony,['Freddy Martin']
1946,18,spotify:track:3gAUzbcHBs9f4oGg82YHXv,The Old Lamp-Lighter,Sammy Kaye,The Old Lamplighter,['Sammy Kaye and His Orchestra']
1946,19,spotify:track:5aYXgu5A7tpcMMOdqcgdks,I Can't Begin to Tell You,Bing Crosby and Carmen Cavallaro,I Can't Begin To Tell You - Single Version,"['Bing Crosby', 'Carmen Cavallaro']"
1946,19,spotify:track:5D8AR8BAgxHfbT34d6e3jQ,I'm a Big Girl Now,Sammy Kaye,I'm a Big Girl Now,['Sammy Kaye']
1946,21,spotify:track:4ti0GtMlFsSAE7cDJGzfWy,Symphony,Bing Crosby,White Christmas,"['Bing Crosby', 'Pentatonix', 'London Symphony Orchestra']"
1946,22,spotify:track:3zgiqJm2mHgT4VnIXG5wju,Doin' What Comes Natur'lly,Dinah Shore with the Spade Cooley Orchestra,Doin' What Comes Natur'lly - 78rpm Version,['Dinah Shore']
1946,22,spotify:track:6Y1nHjwgkfcQx4aMmS4d6p,The Gypsy,Sammy Kaye,The Gypsy,['Sammy Kaye']
1946,24,spotify:track:2RG22MnkRzrPNAyc0eFn8w,Laughing on the Outside (Crying on the Inside),Dinah Shore,Laughing on the Outside (Crying on the Inside),['Dinah Shore']
1946,25,spotify:track:5IVMrqxM3AX6xxoOQUF3ii,Five Minutes More,Tex Beneke with the Glenn Miller Orchestra,Give Me Five Minutes More,['Tex Beneke']
1946,26,spotify:track:7qvklHIQLAAkbKz0gFlzL3,Laughing on the Outside (Crying on the Inside),Andy Russell,Laughing On The Outside (Crying On The Inside) - Remastered,['Andy Russell']
1946,27,https://open.spotify.com/track/26bMzjKbEnrf97yFuWxVgX?si=47b3c2bcdc96494b,Hey! Ba-Ba-Re-Bop,Tex Beneke with the Glenn Miller Orchestra,Hey! Ba-Ba-Re-Bop,['Tex Beneke And His Orchestra']
1946,27,spotify:track:4x5UlW3b580k7xJOWWba80,They Say It's Wonderful,Perry Como,They Say It's Wonderful,['Perry Como']
1946,27,spotify:track:7xFNmLipYoM2p6raserdMS,To Each His Own,Tony Martin,To Each His Own,['Tony Martin']
1946,30,spotify:track:6okq0UZQkgliW4zvGfIMC6,You Won't Be Satisfied (Until You Break My Heart),Les Brown,You Won't Be Satisfied (Until You Break My Heart),"['Doris Day', 'Les Brown & His Orchestra']"
1946,31,spotify:track:2VrUcxWYViR8y0YfMPAZ1u,Symphony,Benny Goodman,Symphony,['Benny Goodman']
1946,32,spotify:track:4xFF6HBiaITonOuCKBvZX7,Doin' What Comes Natur'lly,Freddy Martin,Doin' What Comes Natur'lly,['Freddy Martin']
1946,32,spotify:track:7k3GfnMsOgzU9sygbZMeF3,Oh! What It Seemed to Be,Charlie Spivak,Oh What It Seemed To Be,['Charlie Spivak & His Orchestra']
1946,32,spotify:track:0sJqdV5n24uO4AdeQsY7k7,The Old Lamp-Lighter,Kay Kyser,The Old Lamp-Lighter,['Kay Kyser & His Orchestra']
1946,35,spotify:track:14SliLRXmE1YWwGIGWw4RO,Oh! What It Seemed to Be,Dick Haymes and Helen Forrest,Oh What It Seemed to Be,"['Dick Haymes', 'Helen Forrest']"
1946,36,spotify:track:13tWg6GRKh1Np1xIMW4WfI,Rumors Are Flying,The Andrews Sisters and Les Paul Trio,Rumors Are Flying,"['Les Paul', 'The Andrews Sisters']"
1946,37,spotify:track:4xc6ja6BCitKPuRZj8NMva,Dig You Later (A Hubba-Hubba-Hubba),Perry Como,(A Hubba-Hubba-Hubba) Dig You Later,['Perry Como']
1946,38,spotify:track:1EKV7dUjjJQW0n5jF6S8gK,Symphony,Jo Stafford,Symphony,['Jo Stafford']
1946,39,https://open.spotify.com/track/46T3st4rXxGq5vtFI7S73u?si=05f58344d91f457d,To Each His Own,The Modernaires and Paula Kelly,To Each His Own,['Modernaires with Paula Kelly']
1946,40,spotify:track:4zenavau6aK3yvLwTNB04X,Sioux City Sue,Bing Crosby and the Jesters,Sioux City Sue - 1946 Single Version / With 1954 Spoken Introduction,"['Bing Crosby', 'The Jesters', 'Bob Haggart & His Orchestra']"
1946,41,spotify:track:5pwrRrUj38H0Ouj68n34JS,(I Love You) For Sentimental Reasons,King Cole Trio,(I Love You) For Sentimental Reasons,['Nat King Cole Trio']
1947,1,https://open.spotify.com/track/0sVJQeYwYTQSjuH81HOpOF?si=f4acb4de942f454c,Near You,Francis Craig,Near You,['Francis Craig']
1947,2,spotify:track:7wOypVbv6u3sdnjBwLqFgO,Peg o' My Heart,The Harmonicats,Peg O' My Heart,"[""Jerry Murad's Harmonicats""]"
1947,3,spotify:track:2YIWbp45LbCno7LmRUjH8Z,Heartaches,Ted Weems,Heartaches - Remastered,['Ted Weems']
1947,4,spotify:track:38sOogpY9Oce0OQRNP6Y2z,Linda,Ray Noble Orchestra and Buddy Clark,Linda,"['Buddy Clark', 'Anita Gordon', 'Ray Noble']"
1947,4,spotify:track:05HBDnASISMJN46VxzDafK,Smoke! Smoke! Smoke! (That Cigarette),Tex Williams,Smoke! Smoke! Smoke! (That Cigarette),['Tex Williams']
1947,6,spotify:track:09koJWG1CyO4tLzCfuzTcV,I Wish I Didn't Love You So,Vaughn Monroe,I Wish I Didn't Love You So,['Vaughn Monroe']
1947,7,spotify:track:6H1BaNZyIv0pWoLkx8omDd,Peg o' My Heart,The Three Suns,Peg O' My Heart,['The Three Suns']
1947,8,spotify:track:0JTO2pJ6pSZfjCoUc43IVL,The Anniversary Song,Al Jolson,Anniversary Song,['Al Jolson']
1947,9,spotify:track:13aIYTBzkIXTAzMEsl6CiQ,Near You,Larry Green Orchestra,Near You,"['Larry Green', 'His Orchestra']"
1947,10,spotify:track:5bEAOUXEbX0Eg9nZ7FcKCq,That's My Desire,Sammy Kaye,Coming Home Song,['Sammy Rae & The Friends']
1947,11,spotify:track:4Yuug0cnC1XHjAyLe11yUq,Ballerina,Vaughn Monroe,Dance Ballerina Dance,['Vaughn Monroe']
1947,12,spotify:track:7rBL12epoBB1HSSVIzNa7y,Mam'selle,Art Lund,Mam'selle,['Art Lund']
1947,12,spotify:track:2oGCMCYEGI6BB9ruLT4caq,"Managua, Nicaragua",Freddy Martin,"Managua, Nicaragua",['Freddy Martin']
1947,14,spotify:track:2MxFk746e4LJmVUHm8OqDc,"Chi-Baba, Chi-Baba (My Bambino Go to Sleep)",Perry Como,"Chi-Baba, Chi-Baba (My Bambino Go To Sleep)",['Perry Como']
1947,14,spotify:track:1MBtVG9uZ2ODiJanIqJi1i,Temptation (Tim-Tayshun),Red Ingle and The Natural Seven and Jo Stafford,Temptation (Tim-Tayshun),"['Jo Stafford', 'Red Ingle & Natural Seven']"
1947,16,https://open.spotify.com/track/2fEp5C6aRZ7Ca9QrNQ22I8?si=f8c97afc0a204313,I Wonder Who's Kissing Her Now,Ted Weems and Perry Como,I Wonder Who's Kissing Her Now,['Perry Como']
1947,17,spotify:track:2xCSpamWdYWIYCCsHLnTTS,Near You,The Andrews Sisters,Near You,"['The Andrews Sisters', 'Vic Schoen & His Orchestra']"
1947,18,spotify:track:3gAUzbcHBs9f4oGg82YHXv,The Old Lamp-Lighter,Sammy Kaye,The Old Lamplighter,['Sammy Kaye and His Orchestra']
1947,19,spotify:track:17SaKXvlFQAEWb3Cff6vRa,When You Were Sweet Sixteen,Perry Como,When You Were Sweet Sixteen,['Perry Como']
1947,20,unknown,How Soon,Jack Owens and Eddie Ballantine,unknown,unknown
1947,21,spotify:track:55sdccuwTv6aPlwz39UVso,Too Fat Polka,Arthur Godfrey,Too Fat Polka,['Frankie Yankovic']
1947,22,spotify:track:7eWuxl5xFpKdSju7Pzjzlv,"I Wonder, I Wonder, I Wonder",Eddy Howard,"I Wonder, I Wonder, I Wonder","['Eddy Howard & His Orchestra', 'Eddy Howard']"
1947,22,spotify:track:5R4okhfleSI3jbqOJfarc1,My Adobe Hacienda,Eddy Howard,My Adobe Hacienda,['Eddy Howard']
1947,24,spotify:track:4gNHFjaoLUj3F6YACQ8ZR6,Huggin' and Chalkin',Hoagy Carmichael,Huggin' and Chalkin',"['Clancy Hayes', 'Kermit Goell', 'Hoagy Carmichael Piano Trio', 'Vic Schoen & His Orchestra']"
1947,25,spotify:track:5pwrRrUj38H0Ouj68n34JS,(I Love You) For Sentimental Reasons,King Cole Trio,(I Love You) For Sentimental Reasons,['Nat King Cole Trio']
1947,26,spotify:track:6LPvqXYScL1hBmpsH5N9op,Ole Buttermilk Sky,Hoagy Carmichael,Ole Buttermilk Sky,"['Hoagy Carmichael', 'Hoagy Carmichael Piano Trio', 'Lou Bring Orchestra']"
1947,27,spotify:track:5tEzyNyoHtVPaludI0KxPK,Mam'selle,Dick Haymes,Mam Selle,['Dick Haymes']
1947,27,spotify:track:7BPhiu9JdAYXVZ442UUk1M,You Do,Vaughn Monroe,You Do,['Vaughn Monroe']
1947,29,spotify:track:2mOwo31qCGoSOJvoodJRtw,The Anniversary Song,Guy Lombardo,Anniversary Song,['Guy Lombardo']
1947,30,spotify:track:0CCYJV7z9lyGTytKEpHAgM,The Anniversary Song,Dinah Shore,Anniversary Song,['Dinah Shore']
1947,30,spotify:track:4rp2Hr51C99Nx5AC9GfSeI,White Christmas,Bing Crosby,White Christmas,['Bing Crosby']
1947,32,spotify:track:0IQESxrjHhP5GtTyW1SJOY,Across the Alley from the Alamo,The Mills Brothers,Across The Alley From The Alamo,['The Mills Brothers']
1947,33,spotify:track:7u9eQXm4pzbvNLRyDegMOl,Civilization,Danny Kaye and The Andrews Sisters with Vic Schoen,"Civilization (Bongo, Bongo, Bongo) - Single Version","['Danny Kaye', 'The Andrews Sisters', 'Vic Schoen & His Orchestra']"
1947,34,spotify:track:0sJqdV5n24uO4AdeQsY7k7,The Old Lamp-Lighter,Kay Kyser,The Old Lamp-Lighter,['Kay Kyser & His Orchestra']
1947,35,spotify:track:54jEnAlKuZtPWNdaXRwO0N,"Open the Door, Richard!",Count Basie,"Open The Door, Richard!",['Jack McVea']
1947,35,https://open.spotify.com/track/2QC2q838vdt5wL9qlnEl7S?si=68189056c5964fd3,Peg o' My Heart,Art Lund,Peg o' My Heart,['Art Lund']
1947,35,spotify:track:2G6hkhDh4Q6n6mVFmET8eG,You Do,Margaret Whiting with Frank De Vol,You Do,['Margaret Whiting']
1947,38,spotify:track:7lWQNJSh7sMr6KMDfRHFSG,Feudin' and Fightin',Dorothy Shay,Feudin' And Fightin',['Dorothy Shay The Park Avenue Hill Billie']
1947,39,spotify:track:4le4pnxfhWidY9xcB3VjAp,Linda,Charlie Spivak,Linda,['Charlie Spivak']
1947,40,spotify:track:15g0U9M7uLoUP8PeAr7Wy5,"Managua, Nicaragua",Guy Lombardo,"Managua, Nicaragua",['Guy Lombardo']
1947,40,https://open.spotify.com/track/6eyYH4cL7UI61V35vTJAEm?si=54d60e09d2b740bd,The Anniversary Song,Tex Beneke with the Glenn Miller Orchestra,Anniversary Song,['Tex Beneke & The Miller Orchestra']
1947,42,spotify:track:4bE9RhOzXgQkMRPKJkj4hO,How Soon,Vaughn Monroe,How Soon? - Will I Be Seeing You,['Vaughn Monroe']
1947,42,spotify:track:0wcJXUAocjKUd00GSmCLJI,The Whiffenpoof Song,Bing Crosby with Fred Waring,The Whiffenpoof Song - 1947 Single Version / With 1954 Spoken Introduction,"['Bing Crosby', 'Fred Waring & The Glee Club']"
1947,44,spotify:track:4ibZDEo0rkxJDbk2dHK8qO,"Open the Door, Richard!",Dusty Fletcher,"Open The Door, Richard",['Dusty Fletcher']
1947,45,spotify:track:5xgmNkzVdxmRqPuLJ5Qwr7,(I Love You) For Sentimental Reasons,Eddy Howard,(I Love You) for Sentimental Reasons,"['Eddy Howard & His Orchestra', 'Eddy Howard']"
1947,46,spotify:track:3xCIzV4hTgfPAZXhJRvx8i,Golden Earrings,Peggy Lee with Dave Barbour,Golden Earrings,"['Lara Louise', 'Grant Levin']"
1947,46,spotify:track:1M2NFzR0gAeDt8yIHuqlaQ,Ole Buttermilk Sky,Kay Kyser,Ole Buttermilk Sky,['Kay Kyser & His Orchestra']
1948,1,spotify:track:60qvt3skaW0nJzVkynxpBP,Twelfth Street Rag,Pee Wee Hunt,Twelfth Street Rag,['Pee Wee Hunt']
1948,2,spotify:track:3baBjQISAznjkg8WwzipPM,Mañana (Is Soon Enough for Me),Peggy Lee with Dave Barbour,Manana (Is Soon Enough For Me),['Peggy Lee']
1948,3,spotify:track:4v4Z9lJgsc01YbfsiupUam,Now Is the Hour,Bing Crosby with Ken Darby,Now Is The Hour (Maori Farewell Song) - 1948 Single Version / With 1954 Spoken Introduction,"['Bing Crosby', 'Ken Darby Singers']"
1948,4,spotify:track:4RKMHiQ1sQCJVcPEbqcXR2,A Tree in the Meadow,Margaret Whiting,A Tree In The Meadow - Remastered 1990,['Margaret Whiting']
1948,5,unknown,My Happiness,Jon and Sondra Steele,unknown,unknown
1948,6,https://open.spotify.com/track/2EE9ledwonv4lUcUFbvGt1?si=70a2b04badb04ef2,"You Can't Be True, Dear",Ken Griffin and Jerry Wayne,"You Can't Be True, Dear","['Ken Griffin', 'Jerry Wayne']"
1948,7,https://open.spotify.com/track/7CGR9hEgvyT313gx4VNYJZ?si=716e1aaf19354de8,Little White Lies,Dick Haymes and Gordon Jenkins,Little White Lies,['Dick Haymes with Four Hits and A Miss and Gordon Jenkins Orchestra'
1948,8,unknown,You Call Everybody Darlin',Al Trace with Bob Vincent,unknown,unknown
1948,9,spotify:track:3OP9yEwdPPRPE9Bbx6nNb9,My Happiness,The Pied Pipers,My Happiness,"['The Pied Pipers', 'Jo Stafford']"
1948,10,https://open.spotify.com/track/5sThixPwBMAlcBfaRYy8aq?si=fdc4bdab20404a21,I'm Looking Over a Four Leaf Clover,Art Mooney,I'm Looking Over a Four Leaf Clover,['Art Mooney']
1948,11,spotify:track:0KCac2Oyqfi1kKyhrCJhPl,It's Magic,Doris Day,It's Magic (with George Sirava and His Orchestra) - Version 1 - Take 6,"['Doris Day', 'George Sirava and His Orchestra']"
1948,12,spotify:track:7azCGElD7Ut5HkJ0r4Q1Y2,Maybe You'll Be There,Gordon Jenkins,Maybe You’ll Be There,"['Charlie LaVere', 'Gordon Jenkins & His Orchestra']"
1948,13,spotify:track:4Yuug0cnC1XHjAyLe11yUq,Ballerina,Vaughn Monroe,Dance Ballerina Dance,['Vaughn Monroe']
1948,14,spotify:track:2WMyu5IYgxEuCd6xgFgJrl,Nature Boy,King Cole with Frank De Vol,Nature Boy,['Nat King Cole']
1948,15,spotify:track:1I8EFGzEKewcsaeLPy3KVE,Woody Woodpecker,Kay Kyser with Gloria Wood,Woody Woodpecker,"['Kay Kyser', 'Gloria Wood', 'Harry Babbitt']"
1948,16,spotify:track:5xLc3a3UDVKt3FxyxHMZoY,Love Somebody,Doris Day and Buddy Clark with George Siravo,Love Somebody,"['Doris Day', 'Buddy Clark', 'George Siravo and His Orchesta']"
1948,17,https://open.spotify.com/track/3rXjBGCrdA6HpGTf15dMhm?si=f238427dd87c48d7,Now Is the Hour,Gracie Fields with Phil Green,Now Is the Hour,"['Gracie Fields', 'Philip Green Orchestra']"
1948,18,https://open.spotify.com/track/7HsTDbxlMuqSr5Hx9SHHEd?si=6f6bf057404f42e6,Beg Your Pardon,Francis Craig,Beg Your Pardon,['Francis Craig']
1948,19,spotify:track:13J3nj3RP6YjcG6bgFD9gj,"You Can't Be True, Dear",Ken Griffin,"You Can't Be True, Dear",['Ken Griffin']
1948,20,spotify:track:19WWVyMNkUIgZZr0aUjH1j,Toolie Oolie Doolie,The Andrews Sisters with Vic Schoen,Toolie Oolie Doolie (The Yodel Polka),['The Andrews Sisters']
