year,rank,uri,wk_title,wk_artist,sp_title,sp_artist
2020,1,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,The Weeknd,Blinding Lights,['The Weeknd']
2020,2,spotify:track:21jGcNKet2qwijlDFuPiPb,Circles,Post Malone,Circles,['Post Malone']
2020,3,spotify:track:0nbXyq5TXYPCO7pr3N8S4I,The Box,Roddy Ricch,The Box,['Roddy Ricch']
2020,4,spotify:track:3PfIrDoz19wz7qK7tYeu62,Don't Start Now,Dua Lipa,Don't Start Now,['Dua Lipa']
2020,5,spotify:track:7ytR5pFWmSjzHJIeQkgog4,Rockstar,DaBaby  Roddy Ricch,ROCKSTAR (feat. Roddy Ricch),"['DaBaby', 'Roddy Ricch']"
2020,6,spotify:track:3jjujdWJ72nww5eGnfs2E7,Adore You,Harry Styles,Adore You,['Harry Styles']
2020,7,spotify:track:5yY9lUy8nbvjM1Uyo1Uqoc,Life Is Good,Future  Drake,Life Is Good (feat. Drake),"['Future', 'Drake']"
2020,8,spotify:track:4cktbXiXOapiLBMprHFErI,Memories,Maroon 5,Memories,['Maroon 5']
2020,9,spotify:track:7yFhA2fUsL2oIMWlw5DaHQ,The Bones,Maren Morris,The Bones,['Maren Morris']
2020,10,spotify:track:7qEHsqek33rTcFNT9PFqLf,Someone You Loved,Lewis Capaldi,Someone You Loved,['Lewis Capaldi']
2020,11,spotify:track:3Dv1eDb0MEgF93GpLXlucZ,Say So,Doja Cat,Say So,['Doja Cat']
2020,12,spotify:track:5cYFwgA5dHoqR3xGnlr9ew,I Hope,Gabby Barrett  Charlie Puth,I Hope (feat. Charlie Puth),"['Gabby Barrett', 'Charlie Puth']"
2020,13,spotify:track:2MbdDtCv5LUVjYy9RuGTgC,Whats Poppin,"Jack Harlow  DaBaby, Tory Lanez and Lil Wayne","WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","['Jack Harlow', 'Tory Lanez', 'DaBaby', 'Lil Wayne']"
2020,14,spotify:track:2N8m6CYs74qQO4mjVcXO30,Dance Monkey,Tones and I,Dance Monkey,['Tones And I']
2020,15,spotify:track:5v4GgrXPMghOnBBLmveLac,Savage,Megan Thee Stallion  Beyoncé,Savage Remix (feat. Beyoncé),"['Megan Thee Stallion', 'Beyoncé']"
2020,16,spotify:track:696DnlkuDOXcMAnKlTgXXK,Roxanne,Arizona Zervas,ROXANNE,['Arizona Zervas']
2020,17,spotify:track:4umIPjkehX1r7uhmGvXiSV,Intentions,Justin Bieber  Quavo,Intentions (feat. Quavo),"['Justin Bieber', 'Quavo']"
2020,18,spotify:track:3ZCTVFBt2Brf31RLEnCkWJ,Everything I Wanted,Billie Eilish,everything i wanted,['Billie Eilish']
2020,19,spotify:track:72GVdRHK49beKrC1NqRCqj,Roses (Imanbek remix),Saint Jhn,Roses - Imanbek Remix,"['SAINt JHN', 'Imanbek']"
2020,20,spotify:track:6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,Harry Styles,Watermelon Sugar,['Harry Styles']
2020,21,spotify:track:2gMXnyrvIjhVBUZwvLZDMP,Before You Go,Lewis Capaldi,Before You Go,['Lewis Capaldi']
2020,22,spotify:track:26XaOsDMbl0e1cVKYfkz6w,Falling,Trevor Daniel,Falling,['Trevor Daniel']
2020,23,spotify:track:2wrJq5XKLnmhRXHIAf9xBa,"10,000 Hours",Dan + Shay and Justin Bieber,"10,000 Hours (with Justin Bieber)","['Dan + Shay', 'Justin Bieber']"
2020,24,spotify:track:4Oun2ylbjFKMPTiaSbbCih,WAP,Cardi B  Megan Thee Stallion,WAP (feat. Megan Thee Stallion),"['Cardi B', 'Megan Thee Stallion']"
2020,25,spotify:track:6N3VU0PHaFp5oxtN6vP4mv,Ballin',Mustard and Roddy Ricch,Ballin’,"['Mustard', 'Roddy Ricch']"
2020,26,spotify:track:6jRq8gaZhMUyy5RclRPcAf,Hot Girl Bummer,Blackbear,hot girl bummer,['blackbear']
2020,27,spotify:track:6wJYhPfqk3KGhHRG76WzOh,Blueberry Faygo,Lil Mosey,Blueberry Faygo,['Lil Mosey']
2020,28,spotify:track:6bnF93Rx87YqUBLSgjiMU8,Heartless,The Weeknd,Heartless,['The Weeknd']
2020,29,spotify:track:6Ozh9Ok6h4Oi1wUSLtBseN,Bop,DaBaby,BOP,['DaBaby']
2020,30,spotify:track:4l0Mvzj72xxOpRrp6h8nHi,Lose You to Love Me,Selena Gomez,Lose You To Love Me,['Selena Gomez']
2020,31,spotify:track:6KgBpzTuTRPebChN0VTyzV,Good as Hell,Lizzo,Good as Hell,['Lizzo']
2020,32,spotify:track:127QTOFJsJQp5LbJbu3A1y,Toosie Slide,Drake,Toosie Slide,['Drake']
