year,rank,id,uri,track_href,analysis_url,wk_title,wk_artist,sp_title,sp_artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,time_signature
1946,1,3SpqiwLh1vaR0QeEDDvUrC,spotify:track:3SpqiwLh1vaR0QeEDDvUrC,https://api.spotify.com/v1/tracks/3SpqiwLh1vaR0QeEDDvUrC,https://api.spotify.com/v1/audio-analysis/3SpqiwLh1vaR0QeEDDvUrC,Prisoner of Love,Perry Como,Prisoner of Love (with Russ Case & His Orchestra & Chorus),"['Perry Como', 'Russ Case & His Orchestra & Chorus']",0.246,0.174,2.0,-12.901,1.0,0.0333,0.911,0.000359,0.119,0.191,80.938,audio_features,207200.0,4.0
1946,2,4xRdYnoXKNDPPrEicGPGCe,spotify:track:4xRdYnoXKNDPPrEicGPGCe,https://api.spotify.com/v1/tracks/4xRdYnoXKNDPPrEicGPGCe,https://api.spotify.com/v1/audio-analysis/4xRdYnoXKNDPPrEicGPGCe,To Each His Own,Eddy Howard,To Each His Own,['Eddy Howard'],0.344,0.0596,3.0,-16.766,1.0,0.0394,0.947,5.95e-05,0.181,0.15,81.037,audio_features,184293.0,4.0
1946,3,4kuoSXnEyTKWypYkvjjnwd,spotify:track:4kuoSXnEyTKWypYkvjjnwd,https://api.spotify.com/v1/tracks/4kuoSXnEyTKWypYkvjjnwd,https://api.spotify.com/v1/audio-analysis/4kuoSXnEyTKWypYkvjjnwd,The Gypsy,The Ink Spots,The Gypsy,['The Ink Spots'],0.531,0.125,7.0,-15.463,1.0,0.0552,0.812,0.0,0.103,0.222,76.056,audio_features,164533.0,4.0
1946,4,08jcVB28seFgQ5WrQiLKZQ,spotify:track:08jcVB28seFgQ5WrQiLKZQ,https://api.spotify.com/v1/tracks/08jcVB28seFgQ5WrQiLKZQ,https://api.spotify.com/v1/audio-analysis/08jcVB28seFgQ5WrQiLKZQ,Five Minutes More,Frank Sinatra,Five Minutes More,['Frank Sinatra'],0.67,0.0625,9.0,-20.393,1.0,0.0611,0.794,0.0,0.0762,0.569,142.894,audio_features,154773.0,4.0
1946,5,7AoGplARvZSMmwYrsWjSfy,spotify:track:7AoGplARvZSMmwYrsWjSfy,https://api.spotify.com/v1/tracks/7AoGplARvZSMmwYrsWjSfy,https://api.spotify.com/v1/audio-analysis/7AoGplARvZSMmwYrsWjSfy,Rumors Are Flying,Frankie Carle,Rumors Are Flying,['Frankie Carle'],0.332,0.204,11.0,-15.557,1.0,0.0437,0.951,0.00252,0.638,0.377,72.355,audio_features,183133.0,4.0
1946,6,584qaYkg1VK6TGWBOtJIEB,spotify:track:584qaYkg1VK6TGWBOtJIEB,https://api.spotify.com/v1/tracks/584qaYkg1VK6TGWBOtJIEB,https://api.spotify.com/v1/audio-analysis/584qaYkg1VK6TGWBOtJIEB,Oh! What It Seemed to Be,Frankie Carle,Oh! What It Seemed to Be,"['Frankie Carle, His Piano & Orchestra']",0.644,0.463,7.0,-14.6,1.0,0.0304,0.567,0.0392,0.412,0.811,105.297,audio_features,115133.0,3.0
1946,7,2qkqnpWaSM6zWqDpQWaFEL,spotify:track:2qkqnpWaSM6zWqDpQWaFEL,https://api.spotify.com/v1/tracks/2qkqnpWaSM6zWqDpQWaFEL,https://api.spotify.com/v1/audio-analysis/2qkqnpWaSM6zWqDpQWaFEL,Personality,Johnny Mercer and The Pied Pipers,Personality,"['Johnny Mercer', 'The Pied Pipers']",0.741,0.147,5.0,-16.563,1.0,0.0613,0.894,0.0,0.126,0.827,134.465,audio_features,169627.0,4.0
1946,8,5Z7MNRwfaVL1tEKsc6G7EQ,spotify:track:5Z7MNRwfaVL1tEKsc6G7EQ,https://api.spotify.com/v1/tracks/5Z7MNRwfaVL1tEKsc6G7EQ,https://api.spotify.com/v1/audio-analysis/5Z7MNRwfaVL1tEKsc6G7EQ,"South America, Take It Away",Bing Crosby and The Andrews Sisters,"South America, Take It Away - Single Version","['Bing Crosby', 'The Andrews Sisters', 'Vic Schoen & His Orchestra']",0.748,0.4,1.0,-11.47,1.0,0.116,0.742,0.0,0.106,0.842,78.388,audio_features,187293.0,4.0
1946,9,1lxLxma3m4k8fq2SMVFsSH,spotify:track:1lxLxma3m4k8fq2SMVFsSH,https://api.spotify.com/v1/tracks/1lxLxma3m4k8fq2SMVFsSH,https://api.spotify.com/v1/audio-analysis/1lxLxma3m4k8fq2SMVFsSH,The Gypsy,Dinah Shore,The Gypsy - 78rpm Version,['Dinah Shore'],0.348,0.0658,9.0,-20.77,1.0,0.0408,0.966,0.00129,0.184,0.202,81.839,audio_features,176960.0,4.0
1946,10,3h30Y0cknu8AndiHAPSX43,spotify:track:3h30Y0cknu8AndiHAPSX43,https://api.spotify.com/v1/tracks/3h30Y0cknu8AndiHAPSX43,https://api.spotify.com/v1/audio-analysis/3h30Y0cknu8AndiHAPSX43,Oh! What It Seemed to Be,Frank Sinatra,Oh! What It Seemed To Be,['Frank Sinatra'],0.371,0.0711,1.0,-19.32,1.0,0.0321,0.883,2.49e-05,0.335,0.346,66.967,audio_features,206133.0,3.0
